roll,pitch,yaw,x,y,z
1.8039389477527727,-66.51527517108478,-17.536902437940277,-39.776360919315522,-65.180849485170285,498.79449712990998
1.838290351743457,-66.85164136036491,-17.592238382868437,-39.60807890433972,-65.611306300816693,499.19698139147454
1.976648586763701,-66.62536900204604,-17.656445843697288,-39.140334360826152,-65.897687830464946,498.56372660899183
2.036901546948991,-66.43265422804159,-17.718583186643134,-38.671351083955443,-66.037689456865266,498.22793090813371
2.5443312869473567,-66.37060299928699,-18.228194724961792,-38.256187616298426,-66.157723474289227,497.47941995092418
2.5630158073380787,-66.49117232779105,-18.18515703286285,-37.728672307961247,-66.179706949022702,496.96689370503384
2.2769069263412884,-66.46947698250781,-17.82376077398414,-37.050126694932551,-66.204753523636597,497.01501855866462
3.1057302136815044,-65.98802829664282,-18.603954895008787,-36.271213999026266,-66.02684573879948,495.92253247813136
3.9409827393696726,-65.89296924462407,-19.401761373353146,-35.62395506833581,-65.853126510559036,495.3270399735938
3.6027468934591274,-65.76070337817954,-19.0543591899824,-34.946734588089328,-65.470637533114328,494.780753059174
3.6301854469625017,-65.39796498930984,-19.011445329671485,-34.169014810449617,-64.97447603574696,493.63968410463599
3.4707159519360125,-65.21574403987232,-18.77468968053135,-33.394718706363555,-64.383354649213686,492.61120002780467
4.084051550680905,-64.9929341325615,-19.33753468376015,-32.715990236761201,-63.772369714768956,491.81296288337785
3.948619206609689,-64.70007417262269,-19.22979523769408,-32.156086867164944,-63.025852443541375,491.04275238934434
4.191743558433905,-64.73025093521538,-19.521291276465696,-31.71346155063652,-62.176664804088205,490.09396655539086
3.1396542966246423,-64.72477926731074,-18.315819876732654,-31.169937805994632,-61.40835006377516,489.65228243972359
3.044753123157475,-64.35339749475506,-18.250403519304026,-30.73628415211687,-60.402850328158493,488.24770232043102
2.1120675873971333,-64.36668941535238,-17.279955344896063,-30.423685086620473,-59.499792578781893,487.71130525353931
2.4323234978751582,-64.3703319237351,-17.6046171070739,-30.362678813300523,-58.678352637510628,487.45966404524921
1.7366730535975814,-64.31726475130588,-16.966861948805224,-30.246319546778256,-57.638578131337852,486.54950004333108
1.4085637656544714,-64.45943205691782,-16.67892180736872,-30.198154429974387,-56.734416879592523,486.24144951715374
0.9599298092134413,-64.33223799543912,-16.226259278930524,-30.102424469659997,-55.75868087840297,485.61542592580417
0.6113999582717354,-64.43445101852478,-15.943920779093705,-30.1692418116378,-54.884966769046869,485.37987514970337
0.38161089073255405,-64.58248800257894,-15.705618515287062,-30.312675592875582,-53.959435259058957,484.67332201308398
-0.2688787026348998,-64.32734149491456,-15.08580547538371,-30.282287921802038,-52.937878034834689,483.58773914025187
-0.7906582970226709,-64.4197389109154,-14.584095346164863,-30.313533748512633,-52.034332400730285,483.5224715993412
-1.03655206440988,-64.46592262023222,-14.348410160859217,-30.350662639506574,-51.048352941001284,483.15543832032222
-1.4378227768063756,-64.46739604457238,-13.959878316118933,-30.419313490989488,-50.113934295318053,482.71596929777417
-1.3710726913572286,-64.37044030987632,-13.977312383870725,-30.399136981168038,-49.189557774884705,481.89435017683661
-1.9875540480604148,-64.2842114827608,-13.354466126407623,-30.315961458696123,-48.139717308614223,481.03220925109906
